,id,num_nodes_joke,num_nodes_nonj
585,5ak0lc,5,5
586,3j763q,6,6
587,55o76j,5,5
588,5ntk10,3,3
589,66hkqs,6,6
590,55ltru,6,7
591,3j3jv9,8,8
592,55t61m,7,6
593,669uzy,2,2
594,5org5s,6,6
595,1l8tk6,5,5
596,5nus0z,7,7
597,5oskdc,5,5
598,1jqzb9,10,10
599,555nxz,7,7
600,66y0nl,8,9
601,dus2q0,7,9
602,3obc8k,9,9
603,61n9y4,6,0
604,66qdll,7,3
605,20dfpq,5,7
606,1jx14f,7,5
607,558w2n,10,0
608,3kd2rw,7,7
609,5on8t5,5,7
610,4iassq,5,4
611,65qih6,6,6
612,56ls75,3,0
613,62avxi,4,4
614,e56l0z,10,10
615,1x25ie,3,3
616,e5azds,12,9
617,65t3ka,8,0
618,56hh9j,4,4
619,66063u,7,7
620,4ii25p,6,6
621,6618ee,5,5
622,4411ex,5,5
623,6201ud,9,9
624,5ag0at,2,2
625,566yj8,5,5
626,4fu3nr,3,4
627,1xr4y6,6,6
628,1mc758,11,11
629,5acbqv,3,6
630,3jx352,3,3
631,65zuve,7,7
632,56a7f4,8,8
633,3pq18w,6,6
634,3q3zjt,7,7
635,4onsio,6,3
636,6rq7pb,3,2
637,44te2j,8,8
638,5rgk8e,3,3
639,4qy4b4,9,9
640,4m97u2,8,8
641,d25xs2,4,4
642,3pzbbt,7,0
643,4pqgka,6,8
644,44sa82,5,5
645,5ck81l,4,4
646,4mcydk,8,8
647,1bt9sg,5,5
648,4lv0to,2,4
649,4prn8n,3,4
650,4ngobu,4,4
651,602pf5,5,6
652,6ns1ar,4,4
653,4nwrrz,4,6
654,d2ylyy,2,7
655,9m108,7,7
656,3psn5h,3,3
657,3q7blc,4,4
658,4dvov9,7,7
659,3decsd,11,0
660,5rgnwu,3,2
661,3pwoc1,0,6
662,3cjqqp,5,5
663,4lxpus,6,7
664,5r7db7,7,7
665,6rlegy,11,9
666,5rijhr,5,5
667,3cqu7e,5,6
668,3d1fus,6,7
669,4p5eij,6,7
670,3cx28d,4,4
671,3cfa0p,3,5
672,6rlecc,7,7
673,4qudyi,5,4
674,982kbm,9,8
675,96xjs0,9,9
676,6pz6pw,7,7
677,4ien19,13,13
678,5hw62q,7,7
679,2itpcc,5,4
680,2imqg8,12,10
681,3volag,6,6
682,5wjkch,9,9
683,4vii6m,6,5
684,5wjgrs,3,3
685,3axbwu,4,3
686,5d4608,6,6
687,5a7skj,3,7
688,2vhdt4,6,6
689,97ye10,9,9
690,3avo5l,14,15
691,56gjkn,4,4
692,2vz41c,17,10
693,5wotln,5,5
694,5hpo95,7,10
695,56a7i0,8,7
696,49kv52,8,8
697,4h9v39,3,3
698,4mdvnr,7,2
699,3jt11p,2,2
700,2m8qyh,6,6
701,2mcbv5,13,13
702,931wai,5,4
703,6wzw3u,3,5
704,5zu3y4,16,16
705,3vhk0e,2,4
706,2vmsz3,4,7
707,56d30a,9,8
708,95w7pn,5,5
709,3vmw41,3,4
710,2jpwxu,6,6
711,56e54i,5,0
712,2vkvo1,5,8
713,2krs5q,9,9
714,94ubqr,6,6
715,4v9d3y,4,2
716,95ig1v,7,7
717,3jxgjc,5,7
718,3qmunv,3,3
719,56bega,6,0
720,95nsqh,8,6
721,987yi4,12,14
722,3qkvjk,10,10
723,2ucz4r,6,0
724,5i81a5,3,3
725,2edm00,5,5
726,2e5dkl,4,6
727,2e895b,4,4
728,2e9o6h,3,3
729,9dah54,5,4
730,3chw6l,4,4
731,56v5ec,8,8
732,9c08ig,6,5
733,3vveao,3,4
734,56uh00,3,3
735,2fkqy5,5,0
736,2fl0lv,3,3
737,4ilg3n,11,6
738,9c7kak,6,6
739,2ez4dn,4,4
740,4ipffa,6,6
741,9dv5ss,5,5
742,5d22n2,6,6
743,4is96f,3,5
744,2u2v97,3,3
745,3w2mhy,10,0
746,5a2bfo,5,5
747,3w1hpx,3,3
748,5a2pm0,4,4
749,3kmwca,6,6
750,5i5z5w,6,0
751,4n7shw,6,6
752,9e6ofy,5,5
753,2u6sye,4,4
754,2u6y4a,5,5
755,62a7a8,8,8
756,4iqsrc,4,5
757,2u6btv,2,4
758,9erolx,6,5
759,4i31gy,4,4
760,4vo0lm,2,2
761,4i1xxq,4,0
762,99srnz,6,6
763,4vpz4f,4,4
764,2uxnks,5,6
765,99xhgj,7,5
766,99ss7h,2,4
767,56n8hk,5,4
768,3k93p1,4,5
769,2i5snk,10,0
770,56m9o2,7,7
771,98drj3,7,7
772,98kfse,5,5
773,993hgp,8,7
774,65qra0,3,3
775,4ibf6u,4,5
776,65phfh,4,4
777,2ftujg,4,4
778,65nfq7,9,9
779,2g2yz9,4,4
780,4i87e2,4,4
781,2ulaug,10,10
782,5d385p,7,7
783,5i5vgx,4,4
784,2ukhji,4,3
785,4opa94,4,3
786,3b1lmp,0,6
787,4vrm19,2,2
788,4i8khz,9,10
789,5i3mxw,3,3
790,65p6ml,12,14
791,2uspcj,5,2
792,4vtkpz,3,3
793,5weqa6,3,4
794,4vsg6f,3,3
795,2tkg2i,6,7
796,4u781e,6,0
797,8sv9jt,4,4
798,5h8ak6,5,5
799,2t9u4l,5,5
800,4fjmj7,5,5
801,3v24we,5,5
802,4izwe6,5,5
803,3q0x3t,5,7
804,4u48e4,5,7
805,3afuxi,3,4
806,4u503a,7,7
807,5x3q8e,3,3
808,55g3nu,4,4
809,3j3nz3,6,6
810,4ubvr7,4,4
811,2segcc,5,6
812,2xoy9l,7,7
813,3o9jnd,3,4
814,2xnew3,12,12
815,4fkct7,5,5
816,66fv8i,7,7
817,3j71g2,6,0
818,2xsonb,5,3
819,2szkqc,4,4
820,2xux1k,2,4
821,5haq0i,3,3
822,4ffhkx,4,4
823,6y5r3e,6,5
824,8tyfxd,13,13
825,2spf0w,8,9
826,2y5qfv,11,11
827,4j5ytj,10,6
828,6p1q3s,4,4
829,2yk68l,6,6
830,4pxqwe,4,4
831,2vnxuw,5,6
832,2yhfkf,5,5
833,8pv9h5,4,4
834,559dky,3,3
835,2w8vss,6,6
836,4ek9im,3,4
837,2wky2f,3,3
838,2woued,6,6
839,3uqz6g,4,4
840,5h0yge,9,10
841,5571rb,3,0
842,4tvjq6,4,6
843,4j2p5m,5,3
844,2y8kpg,14,13
845,3uvj4n,5,5
846,5h3f6h,6,0
847,2y9lj1,5,5
848,2y9iyj,7,0
849,3ux226,4,4
850,4nk6m5,4,4
851,2y7ed7,6,8
852,55b2vm,3,4
853,2vb60x,7,4
854,3obv87,5,5
855,2v7mnw,8,8
856,55c1gn,5,5
857,5aowpo,5,0
858,3vcq4t,7,7
859,2o5tl4,12,0
860,4gqxy7,3,3
861,5wsqfw,5,5
862,5hjrun,7,7
863,5hjnvu,5,5
864,3vd0c0,7,6
865,6x9b17,8,6
866,2wjjvb,8,8
867,3jkwuh,7,8
868,2pf3yv,13,10
869,2p3yi9,3,3
870,4gkddc,4,4
871,2oyr4k,4,3
872,3aog3r,6,6
873,90t4pg,6,6
874,5hnhgu,3,4
875,4il9o1,4,5
876,2wa0w1,3,3
877,4h1bnq,5,5
878,2mrxmy,4,6
879,2mh9zb,8,0
880,92kw9g,6,5
881,4h1bvf,5,0
882,2w7g5a,9,9
883,4uzpya,6,6
884,4fptzf,4,4
885,2wfd51,5,5
886,3veblz,8,0
887,2noqo0,0,0
888,564xsg,3,4
889,4ilv68,6,3
890,2wbv7e,6,6
891,3jq59q,5,3
892,2ni97o,3,3
893,4uh8oi,8,7
894,2xdoke,6,7
895,66clw7,8,5
896,2x88s3,7,7
897,2qpjpp,5,5
898,5hdk9r,4,4
899,2xags6,4,4
900,2r0qly,4,4
901,8w3cwr,8,7
902,5ajwpk,7,7
903,5x042p,6,6
904,3j9kva,4,4
905,3ajta1,3,3
906,4ugdp9,3,3
907,66dgez,13,13
908,2riyla,4,0
909,2rr8s4,7,7
910,3v9xr5,5,3
911,8y30d8,5,5
912,8xy2va,7,7
913,2pubz4,6,5
914,3an0o2,6,5
915,2wwomm,5,5
916,3o6o4b,8,9
917,61wucp,7,7
918,3jhnhh,3,3
919,2psei7,7,7
920,3jekz4,3,3
921,3o8m8j,3,4
922,4ukv7k,5,7
923,61tmbc,7,7
924,4ukpg1,4,5
925,2x4a2d,0,9
926,5hf4lm,4,4
927,2x3uk3,7,0
928,4g496d,11,7
929,3x6h6m,4,3
930,1lzv4x,4,4
931,4dix5w,8,7
932,1mbk89,7,7
933,58dfyl,11,7
934,1lbou8,6,0
935,5vft1q,2,2
936,4gyb8u,6,6
937,3n95e8,5,3
938,1lf8yx,4,4
939,5vhze4,6,7
940,58bfyv,6,6
941,4lual9,2,4
942,1mjr45,8,0
943,58bxoa,3,3
944,1mtebi,11,7
945,1mnpta,7,5
946,4y3qnd,7,7
947,58j5u5,4,6
948,3mdb6k,4,4
949,1ke5ww,7,8
950,5vdid5,6,8
951,4msfh3,7,6
952,2q2uaq,5,7
953,3n6izb,4,8
954,58l95u,5,5
955,4y65tj,5,0
956,5j6grc,5,7
957,4gx1bh,4,2
958,2qams4,3,3
959,3c53lu,5,3
960,2q8kpx,2,4
961,3mammx,10,8
962,1n3zl5,6,5
963,5iz3ew,5,4
964,2r344i,6,7
965,2r4fba,9,10
966,2r28b5,6,6
967,3lwizf,12,10
968,1q1ktk,6,6
969,1q68t5,9,6
970,4nkh5b,10,8
971,1rkq2r,9,10
972,9wzo68,4,4
973,59i42u,8,8
974,4xp35m,5,4
975,1qzzg8,3,3
976,1r8b6t,5,5
977,9xmr04,5,7
978,3wx7n4,10,9
979,63z7q1,6,6
980,3m0pqd,4,7
981,5ctk35,4,4
982,3n9zzq,4,3
983,3btqze,0,6
984,4lj190,4,5
985,6t3l8g,5,5
986,64dxkn,9,9
987,588vs4,10,12
988,3x1lwl,4,5
989,4xvnzk,6,6
990,64cv3w,3,4
991,1p472z,7,3
992,a5f8hu,14,14
993,5j98c9,7,4
994,5jh4cv,11,11
995,58vqnw,7,7
996,6rqzom,4,4
997,58wiwm,5,6
998,3mr381,5,5
999,1cyoxo,6,7
1000,5dyios,8,3
1001,3m62ec,5,4
1002,5lu6bi,2,2
1003,2ec34p,2,2
1004,345seb,0,3
