,id,deg_assortativity_coefficient_joke,deg_assortativity_coefficient_njok
679,97pppp,,
680,97pppp,,
681,97pppp,,-0.4082482904638675
682,97pppp,,
683,97pppp,,
684,97pppp,,
685,97pppp,,
686,97pppp,0.0,-0.16666666666666782
687,97pppp,,
688,97pppp,,
689,97pppp,,-0.4999999999999988
690,97pppp,-inf,-0.9999999999999991
691,97pppp,0.0,0.0
692,97pppp,,
693,97pppp,0.0,-0.16666666666666782
694,97pppp,,
695,97pppp,,
696,97pppp,,
697,97pppp,,
698,97pppp,,
699,97pppp,-0.4999999999999988,-0.4999999999999988
700,97pppp,,
701,97pppp,,
702,97pppp,-0.5773502691896258,-0.5773502691896258
703,97pppp,,
704,97pppp,-0.4082482904638675,-0.4082482904638675
705,97pppp,,-0.16666666666666782
706,97pppp,,
707,97pppp,-1.0,0.0
708,97pppp,,
709,97pppp,,-0.1666666666666696
710,97pppp,,
711,97pppp,,
712,97pppp,inf,inf
713,97pppp,,
714,97pppp,-0.8529411764705894,-0.19802950859533594
715,97pppp,,
716,97pppp,,
717,97pppp,0.9999999999999966,-0.4999999999999988
718,97pppp,,
719,97pppp,-0.30000000000000165,-0.30000000000000165
720,97pppp,-0.5773502691896257,-0.5773502691896257
721,97pppp,-0.4411764705882363,-0.4411764705882363
722,97pppp,-0.1889822365046145,-0.10000000000000027
723,97pppp,,
724,97pppp,,
725,97pppp,0.0,0.0
726,97pppp,,
727,97pppp,,
728,97pppp,,
729,97pppp,-0.5773502691896258,
730,97pppp,-0.04335549847620731,0.2182178902359924
731,97pppp,,
732,97pppp,-0.4999999999999988,
733,97pppp,,
734,97pppp,,
735,97pppp,,
736,97pppp,inf,-inf
737,97pppp,,
738,97pppp,,
739,97pppp,,
740,97pppp,,
741,97pppp,,
742,97pppp,-0.4999999999999988,
743,97pppp,,
744,97pppp,,
745,97pppp,,
746,97pppp,,
747,97pppp,,
748,97pppp,,
749,97pppp,,
750,97pppp,,-0.5445811486371729
751,97pppp,,
752,97pppp,,
753,97pppp,,
754,97pppp,,
755,97pppp,-0.4999999999999988,-0.4999999999999988
756,97pppp,,
757,97pppp,,
758,97pppp,-1.0000000000000002,
759,97pppp,,
760,97pppp,,
761,97pppp,,
762,97pppp,,
763,97pppp,-1.0280809080416378e-15,-1.0280809080416378e-15
764,97pppp,,
765,97pppp,,
766,97pppp,,
767,97pppp,,
768,97pppp,0.0,
769,97pppp,,
770,97pppp,-inf,-inf
771,97pppp,,
772,97pppp,,
773,97pppp,,
774,97pppp,,
775,97pppp,,
776,97pppp,-0.5773502691896258,-0.5773502691896258
777,97pppp,,
778,97pppp,-0.6123724356957957,-0.6123724356957957
779,97pppp,,
780,97pppp,,
781,97pppp,inf,inf
782,97pppp,-0.4999999999999988,
783,97pppp,,-0.4999999999999988
784,97pppp,,
785,97pppp,-0.4999999999999988,-0.4999999999999988
786,97pppp,,
787,97pppp,,0.0
788,97pppp,,
789,97pppp,,
790,97pppp,,
791,97pppp,,
792,97pppp,-0.250000000000004,-0.250000000000004
793,97pppp,,
794,97pppp,,
795,97pppp,,
796,97pppp,,
797,97pppp,,
798,97pppp,-0.3779644730092272,-0.3779644730092272
799,97pppp,-0.5000000000000002,-0.5000000000000002
800,97pppp,,
801,97pppp,,
802,97pppp,,
803,97pppp,-0.9999999999999994,-0.9999999999999994
804,97pppp,,
805,97pppp,-0.9999999999999991,-1.0
806,97pppp,-0.250000000000001,-0.6123724356957942
807,97pppp,,
808,97pppp,-0.14907119849998599,-0.3333333333333333
809,97pppp,-0.27216552697591023,-0.8677218312746269
810,97pppp,,
811,97pppp,,
812,97pppp,,
813,97pppp,,
814,97pppp,,
815,97pppp,,
816,97pppp,,
817,97pppp,,
818,97pppp,,
819,97pppp,,
820,97pppp,-0.5000000000000002,-0.4082482904638643
821,97pppp,-0.5003702332976757,-0.5003702332976757
822,97pppp,0.40824829046386113,0.40824829046386113
823,97pppp,,
824,97pppp,,
825,97pppp,-0.4999999999999988,
826,97pppp,,
827,97pppp,,
828,97pppp,,
829,97pppp,,-0.4999999999999988
830,97pppp,0.34641016151377546,0.3162277660168385
831,97pppp,,
832,97pppp,,
833,97pppp,,
834,97pppp,0.0,0.0
835,97pppp,,
836,97pppp,,
837,97pppp,,
838,97pppp,-0.471404520791032,
839,97pppp,-0.7302967433402229,-0.7302967433402229
840,97pppp,-0.7071067811865475,-0.7071067811865475
841,97pppp,,
842,97pppp,,
843,97pppp,,
844,97pppp,,
845,97pppp,-0.6831300510639733,-0.6831300510639733
846,97pppp,,
847,97pppp,,
848,97pppp,inf,
849,97pppp,0.40824829046386113,0.0
850,97pppp,,
851,97pppp,,
852,97pppp,-1.0,-0.6190476190476182
853,97pppp,-0.09128709291752553,-0.09128709291752553
854,97pppp,,
855,97pppp,,
856,97pppp,,
857,97pppp,,
858,97pppp,,
859,97pppp,0.16666666666666557,0.16666666666666557
860,97pppp,-1.0,
861,97pppp,,
862,97pppp,,
863,97pppp,-0.4999999999999988,
864,97pppp,,
865,97pppp,,
866,97pppp,-0.25000000000000006,
867,97pppp,,
868,97pppp,,
869,97pppp,-0.7905694150420939,-0.7905694150420939
870,97pppp,,
871,97pppp,-0.5773502691896258,-0.5773502691896258
872,97pppp,-0.24999999999999925,-0.30000000000000165
873,97pppp,-0.2182178902359924,-0.2182178902359924
874,97pppp,,
875,97pppp,,
876,97pppp,-0.10012523486435222,
877,97pppp,,
878,97pppp,,inf
879,97pppp,,0.40824829046386113
880,97pppp,-0.4999999999999988,-0.5773502691896258
881,97pppp,,
882,97pppp,,-1.0000000000000002
883,97pppp,,
884,97pppp,,0.3162277660168372
885,97pppp,,
886,97pppp,,
887,97pppp,,
888,97pppp,0.0,
889,97pppp,,
890,97pppp,,-0.4999999999999988
891,97pppp,,
892,97pppp,,
893,97pppp,-0.250000000000004,
894,97pppp,,
895,97pppp,,0.25
896,97pppp,,
897,97pppp,-0.4166666666666657,-0.4166666666666657
898,97pppp,-0.43246144425065064,-0.40824829046386474
899,97pppp,,
900,97pppp,inf,inf
901,97pppp,-0.10846522890932954,
902,97pppp,-0.6546536707079771,
903,97pppp,,
904,97pppp,,
905,97pppp,-0.5773502691896258,-0.4999999999999988
906,97pppp,,
907,97pppp,-0.1666666666666696,
908,97pppp,,-0.49507377148833603
909,97pppp,,
910,97pppp,-0.4402254531628119,-0.4402254531628119
911,97pppp,,inf
912,97pppp,,
913,97pppp,,
914,97pppp,,
915,97pppp,,
916,97pppp,-0.7071067811865475,-0.7071067811865475
917,97pppp,,
918,97pppp,,
919,97pppp,,
920,97pppp,-0.4999999999999988,-0.4082482904638675
921,97pppp,,
922,97pppp,,
923,97pppp,,
924,97pppp,,
925,97pppp,-0.2182178902359924,-0.25000000000000006
926,97pppp,-0.4082482904638675,-0.4082482904638675
927,97pppp,,
928,97pppp,,
929,97pppp,-0.16666666666667573,0.3333333333333333
930,97pppp,-0.6454972243679024,
931,97pppp,,
932,97pppp,,
933,97pppp,,
934,97pppp,-0.4880935300919782,-0.7937253933193794
935,97pppp,,
936,97pppp,,
937,97pppp,,-0.4082482904638675
938,97pppp,0.07559289460184594,0.036084391824351636
939,97pppp,,
940,97pppp,,
941,97pppp,,
942,97pppp,0.0,0.16666666666666557
943,97pppp,,
944,97pppp,-0.4999999999999988,-0.4999999999999988
945,97pppp,-0.5773502691896258,-0.5773502691896258
946,97pppp,,
947,97pppp,,
948,97pppp,-0.5445811486371713,-0.5477225575051672
949,97pppp,,
950,97pppp,-0.4999999999999988,-0.4999999999999988
951,97pppp,,
952,97pppp,,-0.4999999999999988
953,97pppp,inf,inf
954,97pppp,,
955,97pppp,,
956,97pppp,,
957,97pppp,,
958,97pppp,,
959,97pppp,,
960,97pppp,-0.08333333333333345,
961,97pppp,,
962,97pppp,-inf,-0.2969569354582496
963,97pppp,0.18898223650461501,0.18898223650461501
964,97pppp,,
965,97pppp,,
966,97pppp,,
